序号,问题,分类,原因范围,范围图例,处理步骤,,,,,
1,轨道停电,继电接口,电源屏检查,电源屏.jpg,检查控制台对应的咽喉轨道区段是否全部为红光带，此情况为电源屏轨道电源断电,,,,,
,,,,,检查电源屏对应的轨道电源空开是否处于接通状态。如果空开落下，应将其合上,,,,,
,,,,,如控制台对应的咽喉轨道区段不是全部为红光带，检查电源屏对应的轨道电源监督继电器GTJ输出通道是否有电，如果无电，应为电源屏监督通道断线，应检查通道并恢复GTJ吸起,,,,,
,,,异物侵限检查,异物侵限.jpg,检查控制台或TCC设备是否有异物侵限报警。如有异物侵限发生，此情况为异物侵限导致轨道停电报警，应将异物排除，报警将恢复,,,,,
,,,继电器检查,继电器.jpg,查看组合架对应的GTJ复示继电器是否为吸起状态，如未吸起，应为继电器故障或复示电源屏GTJ电路故障。首先更换继电器，仍不能吸起，检查电源屏GTJ复示电路,,,,,
,,,采集板检查,采集板.jpg,如果组合架GTJ正常吸起，检查采集板是否故障。查看对应采集板的工作灯是否亮绿灯，报警灯是否亮红灯。如果报警灯亮红灯，为采集板故障，重启查看是否解决；如果仍亮红灯，更换采集板,,,,,
,,,,,查看主、备采集板对应的GTJ采集位是否都亮绿灯，如果均不亮灯，查看采集通道,,,,,
,,,,,如果主系采集板GTJ信息位不亮灯，备系亮灯，人工切换联锁机。如果报警解除，为原主系采集板问题，更换原主系采集板,,,,,
,,,,,如果GTJ采集信息位均亮绿灯，人工切换联锁机。如果报警恢复，为原主系采集板问题，更换原主系采集板,,,,,
,,,采集通道检查,采集通道.jpg,如果采集板GTJ信息位均不亮绿灯（两系为同一采集通道时），检查机柜、接口架、组合架上的采集空开是否处于接通状态。如空开落下，应将其合上,,,,,
,,,,,检查对应的GTJ继电器采集回路是否存在断线或接触不良。如果电压值为0V，则为断线，查找断线位置。采用万用表测量时，具体步骤如下：,,,,,
,,,,,表笔负电端为采集地线/驱动回线①，正电端为组合内部②，测量以上回路电压值为24V左右。如果为0V，应为组合内部配线断线，需要更换该段配线,,,,,
,,,,,表笔负电端为采集地线/驱动回线①，正电端为组合侧面③，确保以上回路电压值为24V。如果为0V，应为组合侧面配线断线，需要更换该段配线,,,,,
,,,,,表笔负电端为采集地线/驱动回线①，正电端为接口架④，确保以上回路电压值为24V。如果为0V，应为侧面至接口架配线断线，需要更换该段配线,,,,,
,,,,,表笔负电端为采集地线/驱动回线①，正电端为接口架⑥，确保以上回路电压值为24V。如果⑥端没有电，应为接口架线缆不通，应更换线缆,,,,,
,,,,,如果以上测量电压值低于24V较多，应为24V电源电压偏低问题。测量IO电源电压输出值，如电源输出值偏低，调整或更换。,,,,,
2,灯丝断丝,继电接口,灯丝报警设备检查,灯丝报警设备.jpg,检查灯丝报警设备，确认该设备有相关的报警，此情况为灯丝报警实际发生，按照该设备的报警位置更换故障设备,,,,,
,,,继电器检查,继电器.jpg,如果灯丝报警设备无报警，查看组合架对应的DSJ/DSZH继电器是否为落下状态（常态落下，个别灯丝设备存在常态吸起的情况）。如果错误吸起，应为灯丝报警设备至该继电器的电路故障。首先更换继电器，仍不能解决，检查灯丝报警设备至该继电器的配线,,,,,
,,,采集通道检查,采集通道.jpg,如果DSJ继电器为落下状态，查看主系采集板对应的DSJ/DSZH采集位是否亮绿灯，如DSJ/DSZH采集信息位亮绿灯，说明有信息错误采集，应检查对应的DSJ/DSZH继电器采集回路是否存在混线，具体步骤如下：,,,,,
,,,,,采用万用表测量时，表笔负电端为采集地线/驱动回线①，正电端为组合内部②，确认以上回路电压值为0V。如果为24V，应为组合内部配线混线，需要更换该段配线,,,,,
,,,,,表笔负电端为采集地线/驱动回线①，正电端为组合侧面③，确认以上回路电压值为0V。如果为24V，应为组合侧面配线混线，需要更换该段配线,,,,,
,,,,,表笔负电端为采集地线/驱动回线①，正电端为接口架④，确认以上回路电压值为0V。如果为24V，应为侧面至接口架配线混线，需要更换该段配线,,,,,
,,,,,表笔负电端为采集地线/驱动回线①，正电端为接口架⑥，确保以上回路电压值为0V。如果为24V，应为接口架线缆混线，应更换线缆,,,,,
3,道岔挤岔,继电接口,转换超时检查,监测道岔曲线.jpg,再次单操道岔，确认道岔是否能在30秒内转换到位。如不能转换到位，通过信号集中监测设备分析,,,,,
,,,,,查看信号集中监测回放，确认道岔动作曲线、电压，及报警。如不正常，调整道岔以上参数,,,,,
,,,挤岔检查,室外道岔.jpg,如果再次单操没有问题，仅为当时偶发故障。通过维修机回放确认当时挤岔发生的情况，如分路不良、操纵道岔等，确认是否由于列车运行造成室外道岔挤岔。通过监测设备回放，确认当时道岔动作曲线、电压，及报警。如不正常，调整道岔以上参数,,,,,
,,,继电器检查,继电器.jpg,如果室外设备没有发生挤岔，再次单操道岔，查看组合架对应的DBJ、FBJ继电器状态，定位时DBJ吸起、FBJ落下；反位时FBJ吸起、DBJ落下。如不正常，应为道岔电路或继电器问题,,,,,
,,,采集板检查,采集板.jpg,如果继电器动作正常，检查采集板是否故障，查看对应采集板的工作灯是否亮绿灯，报警灯是否亮红灯。如果报警灯亮红灯，为采集板故障，重启查看是否解决；如果仍亮红灯，更换采集板,,,,,
,,,,,再次操纵道岔，查看主、备采集板对应的DBJ/FBJ采集位是否亮绿灯。如果主、备均不亮灯，查看采集通道,,,,,
,,,,,如果主系采集板DBJ/FBJ信息位不亮灯，备系亮灯，人工切换联锁机。如果报警解除，为原主系采集板问题，更换原主系采集板,,,,,
,,,,,如果主、备系DBJ/FBJ信息位亮绿灯，人工切换联锁机，如单操后报警恢复，为原主系采集板问题，更换原主系采集板,,,,,
